rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
530,1457.01,1457,176860064,176860064,1,FP,23h39m20.8s,354.836651,+45d43m11.46s,45.719851,-4.6,-10.7,2458766.359,6.375556,2.784942,2638.408447,,947.388977,1545,7.1145,41.2482,6393,,,12/5/2019 16:42,3/4/2020 12:58
531,1458.01,1458,191284318,191284318,1,KP,00h38m17.53s,9.573034,+42d27m47.15s,42.463096,-21.564,-4.588,2458766.822,2.77598,2.984,13920,14.6552,962.102,1551,10.374,226.637,6140,4.32,1.24,12/5/2019 16:42,5/20/2020 16:00
532,1459.01,1459,16920150,16920150.01,1,,01h17m26.83s,19.361773,+26d44m45.42s,26.745951,55.636,-51.974,2458765.546,9.155934,3.141202,908.241272,2.494909,66.150398,727.365784,10.1583,101.358,5219,4.55718,0.82204,12/5/2019 16:42,12/17/2019 10:00
533,146.01,146,355636844,355636844,1,FP,23h53m12.51s,358.302105,-56d00m48.02s,-56.013338,72.2,-39.62,2458330.556,6.29632,2.938,480,,,,10.241,,,,,9/5/2018 18:35,5/20/2020 16:00
534,1460.01,1460,17005768,17005768.01,1,FP,01h22m26.55s,20.610639,+26d55m32.62s,26.925729,14.4,-4.7,2458765.265,6.84265,3.345632,8120.077637,17.104019,215.49382,977.188721,9.9176,150.102,5766,4.438,1.1282,12/5/2019 16:42,3/4/2020 12:58
535,1461.01,1461,44631965,44631965.01,1,FP,01h28m56.73s,22.236394,+35d51m53.47s,35.864854,31.744,9.327,2458767.317,3.568678,2.581118,20121.18555,20.250376,876.963928,1387.922363,11.3805,359.959,6046,4.26929,1.28529,12/5/2019 16:42,3/4/2020 12:58
536,1462.01,1462,188768068,188768068,1,,17h25m23.9s,261.349585,+52d47m25.7s,52.790472,-91.047,-49.639,2458766.045,2.17798,1.904,110,1.35798,771.273,1468,5.8961,27.0498,5801.89,4.25132,1.26,12/5/2019 16:42,7/28/2020 16:00
537,1463.01,1463,190998418,190998418,1,KP,00h28m12.94s,7.053937,+42d03m40.84s,42.061345,0.919,-6.509,2458764.891,2.879303,2.786377,12364.56348,12.573876,693.167664,1308.66748,12.0401,367.658,5583,4.33946,1.1146,12/5/2019 16:42,12/17/2019 10:00
538,1464.01,1464,229944666,229944666,1,,19h13m32.39s,288.384969,+62d12m11.25s,62.203124,14.258,13.052,2458772.647,11.327525,3.101301,1161.61853,3.304004,56.015018,697.743591,10.8597,151.654,5290,4.53286,0.854841,12/5/2019 16:42,6/4/2020 12:00
539,1465.01,1465,236887394,236887394,1,KP,20h13m31.65s,303.38187,+65d09m44.39s,65.162331,12.636,58.17,2458766.007,1.420035,1.616557,24055.375,12.39237,580.586365,1251.948486,11.8478,185.615,4910,4.57248,0.768108,12/5/2019 16:42,12/17/2019 10:00
540,1466.01,1466,237086564,237086564,1,,20h29m35.17s,307.396532,+61d33m02.61s,61.550725,71.523,67.97,2458766.255,1.871529,1.643889,1110.4198,2.491658,233.936218,997.456848,11.0278,86.5783,4201,4.5079,0.749646,12/5/2019 16:42,6/18/2020 12:00
541,1467.01,1467,240968774,240968774,1,,01h16m27.51s,19.114644,+49d13m59.3s,49.233138,108.394,-149.059,2458766.984,5.973384,1.605698,1373.411255,1.827003,18.079168,525.913574,10.5977,37.4418,3834,4.74552,0.490737,12/5/2019 16:42,8/15/2020 12:00
542,1468.01,1468,243185500,243185500,1,,01h06m36.93s,16.653872,+19d13m29.71s,19.224919,-41.465,-222.697,2458766.928,15.531925,1.75933,3429.583496,2.333273,2.140013,308.477753,10.8858,24.7399,3382,4.85532,0.369306,12/5/2019 16:42,8/15/2020 12:00
543,1468.02,1468,243185500,243185500,2,,01h06m36.93s,16.653872,+19d13m29.71s,19.224919,-41.465,-222.697,2458765.679,1.880305,1.055416,1529.822144,1.452351,35.73378,623.576172,10.8858,24.7399,3382,4.85532,0.369306,12/5/2019 16:42,8/15/2020 12:00
544,1469.01,1469,283722336,283722336,1,KP,23h13m20.93s,348.337203,+57d10m10.65s,57.169626,2074.52,294.936,2458957.716,3.093132,0.833654,266.260943,1.211932,192.914147,950.518927,4.6278,6.53127,4884.29,4.59034,0.750598,12/5/2019 16:42,7/10/2020 18:05
545,1469.02,1469,283722336,283722336,2,KP,23h13m20.93s,348.337203,+57d10m10.65s,57.169626,2074.52,294.936,2458766.169,6.765434,1.626366,284.187775,1.467504,67.946625,732.253967,4.6278,6.53127,4884.290039,4.59034,0.750598,12/5/2019 16:42,12/17/2019 10:00
546,147.01,147,220435095,220435095,1,,04h54m33.95s,73.641474,-57d30m48.43s,-57.513453,5.001,22.236,2458326.613,3.42321,2.336,8290,32.2452,955.619,1548,11.8999,820.079,5620.9,3.6,2.61,9/5/2018 18:35,5/20/2020 16:00
547,1470.01,1470,284441182,284441182,1,,00h40m21.39s,10.089143,+61d12m48.19s,61.213387,48.576,-55.602,2458766.469,2.527153,1.270142,1864.113647,2.131293,45.363911,661.907593,11.4752,51.9503,3624,4.74607,0.49012,12/5/2019 16:42,1/9/2020 12:00
548,1471.01,1471,306263608,306263608,1,,02h03m37.2s,30.905006,+21d16m52.78s,21.281327,158.824,107.675,2458767.42,20.772024,6.543088,1400.875854,4.282738,81.617867,766.595154,8.5725,67.5478,5625.560059,4.46798,0.966154,12/5/2019 16:42,6/4/2020 12:00
549,1472.01,1472,306955329,306955329,1,,00h56m27.42s,14.114261,+48d38m15.06s,48.637517,103.372,-13.429,2458765.606,6.364103,2.553493,2514.17334,4.307598,110.004112,825.98468,10.5508,121.84,5103,4.50257,0.859483,12/5/2019 16:42,6/4/2020 12:00
550,1473.01,1473,352413427,352413427,1,,01h02m23.55s,15.598144,+37d11m07.58s,37.185439,-9.876,-10.13,2458769.784,5.255294,3.274737,557.893738,2.49336,299.625763,1061.120117,8.297,67.6203,5958,4.48217,0.992345,12/5/2019 16:42,6/4/2020 12:00
551,1474.01,1474,427654774,427654774,1,,23h17m09.38s,349.289072,+70d11m26.07s,70.190576,136.449,129.094,2458765.042,5.222621,4.693629,15867.99219,3.721601,2.790858,329.650848,14.1431,83.8106,3453,4.95337,0.275946,12/5/2019 16:42,1/28/2020 10:00
552,1475.01,1475,431514478,431514478,1,,23h48m00.31s,357.001275,+49d47m25.92s,49.790533,13.987,-0.414,2458767.618,8.495352,0.906055,718.486938,5.29617,2555.306152,1813.345215,8.77994,294.237,10012,4.29876,1.88016,12/5/2019 16:42,12/17/2019 10:00
553,1476.01,1476,432549364,432549364,1,KP,00h01m26.9s,0.362099,+39d23m01.66s,39.383795,-9.771,-7.679,2458765.534,1.217509,2.731299,6587.476074,12.13839,5879.564453,2233.346191,10.2242,268.43,6596.040039,4.2467,1.46216,12/5/2019 16:42,12/17/2019 10:00
554,1477.01,1477,240681314,240681314,1,KP,00h37m50.1s,9.458744,+51d17m19.6s,51.288778,-6.883,2.689,2458765.649,2.732682,2.251578,9141.319336,17.96063,2530.885986,1808.997192,10.6496,370.284,6695,4.17494,1.61271,12/5/2019 19:37,12/17/2019 10:00
555,1478.01,1478,409794137,409794137,1,,08h25m44.1s,126.433743,-13d33m34.37s,-13.559548,-8.277,67.943,2458495.916,10.18708,3.557,6030,8.49171,,,10.2042,152.892,5623,4.4,1.04,12/5/2019 19:41,8/3/2020 16:00
556,1479.01,1479,421308357,421308357,1,,19h15m16.34s,288.818098,+57d45m38.05s,57.760569,-2.124,2.593,2458685.032,16.68356,2.927,2906.24,16.0937,472.764,1299,10.364,531.96,6423,3.74,2.71,12/5/2019 21:41,5/8/2020 10:00
557,148.01,148,393940766,393940766,1,,22h33m16.99s,338.320803,-38d09m35.38s,-38.159828,22.348,-25.839,2458327.331,4.8661,3.215,5029.02002,9.70106,326.709991,1184,11.7835,395.257,5814.299805,4.34,1.24,9/5/2018 18:35,7/25/2020 12:00
558,1480.01,1480,335483600,335483600,1,,22h10m27.27s,332.613639,+63d33m01.98s,63.55055,-0.181,-2.683,2458742.14,3.35404,2.141,10100,,3877.41,2198,8.7514,893.093,8181,,,12/5/2019 21:41,5/20/2020 16:00
559,1481.01,1481,197650870,197650870,1,,22h26m49.22s,336.705071,+52d13m40.23s,52.227842,2.924,-3.436,2458740.152,4.37035,2.301,1880,35.3634,5984.53,2450,10.3209,1026.12,8332,3.54,4.02,12/5/2019 21:41,5/20/2020 16:00
560,1482.01,1482,252616865,252616865,1,,23h03m58.77s,345.994881,+52d33m45.7s,52.562695,31.629,10.924,2458741.286,5.71204,4.739,7600,15.6047,893.746,1523,10.0687,318.277,6720,4.09,1.79,12/5/2019 21:41,5/20/2020 16:00
561,1483.01,1483,452803785,452803785,1,,22h33m44.41s,338.435039,+52d38m10.81s,52.636337,20.218,0.439,2458743.706,5.00626,3.76,2990,5.92416,841.964,1500,10.4935,209.69,6109,4.42,1.09,12/5/2019 21:41,6/18/2020 12:00
562,1484.01,1484,67309890,67309890.01,1,FP,22h52m37.49s,343.156204,+48d33m00.04s,48.55001,-26.298,-17.376,2458739.468,1.16237,1.33,1196.630005,8.9478,1285.310059,1668,10.2108,368.134,5843.700195,3.82,2.35,12/5/2019 21:41,3/4/2020 12:58
563,1485.01,1485,377191482,377191482,1,,19h03m44.91s,285.937105,+59d09m50.67s,59.164074,2.004,4.538,2458686.172,2.95607,1.86,230,9.30465,232.16,1087,8.8052,386.266,5054,,6.17,12/5/2019 21:41,5/20/2020 16:00
564,1486.01,1486,233541860,233541860,1,FP,18h44m47.49s,281.197877,+62d41m08.32s,62.685644,-33.816,56.652,2458683.602,0.26665,0.98,303.894989,1.21358,3174.98999,2091,9.9592,44.3531,4154,4.53,0.63,12/5/2019 21:41,3/4/2020 12:58
565,1487.01,1487,459978312,459978312,1,,17h02m15.7s,255.565408,+64d36m03.21s,64.600893,-20.716,35.41,2458684.887,23.28798,3.462,120,14.6492,11.0443,507,5.28906,110.923,5047,,8.95,12/5/2019 21:41,5/20/2020 16:00
566,1488.01,1488,198457103,198457103,1,FA,17h27m41.05s,261.921033,+57d30m38.01s,57.510557,-12.787,13.763,2458683.92,0.47225,2.303,90,1.64337,75651.2,4620,8.07023,160.832,7269,4.08,1.94,12/5/2019 21:41,7/24/2020 12:00
567,1489.01,1489,219751469,219751469,1,,17h24m47.96s,261.199848,+61d25m24.68s,61.423521,-8.914,22.411,2458690.049,6.98301,3.472,270,13.6402,148.818,973,8.2285,411.532,5118,,8.4,12/5/2019 21:41,5/20/2020 16:00
