kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,exoplanet
9480398,0,0,0,0,407.14656,0.059000000000000004,-0.059000000000000004,509.257,0.0743,-0.0743,0.7466,0.0484,-0.5277,23.26,3.7,-3.7,82.3,12.2,-12.2,1.18,0.49,-0.22,272.0,1.29,1.66,-0.54,8.2,1.0,5845.0,181.0,-197.0,4.282,0.162,-0.162,1.198,0.503,-0.22,297.37427,46.054806,13.31,0
9458266,0,0,0,0,1.58487898,1.47e-05,-1.47e-05,132.69772,0.0087,-0.0087,0.417,0.033,-0.417,1.791,0.233,-0.233,42.9,6.0,-6.0,0.37,0.03,-0.04,943.0,187.91,62.01,-56.77,9.3,1.0,4201.0,127.0,-140.0,4.675,0.065,-0.025,0.5660000000000001,0.049,-0.06,288.87769,46.059139,13.742,0
9397900,0,0,0,0,10.5113779,0.000401,-0.000401,140.9553,0.037000000000000005,-0.037000000000000005,0.198,0.252,-0.198,4.74,0.862,-0.862,29.9,3.8,-3.8,0.72,0.23,-0.12,1052.0,289.46,263.92,-117.48,8.8,1.0,6575.0,181.0,-250.0,4.2780000000000005,0.124,-0.201,1.305,0.404,-0.218,289.04196,45.977081,12.931,0
9340411,0,0,0,0,5.1581317,0.000111,-0.000111,131.7314,0.021,-0.021,0.032,0.425,-0.032,7.773,0.573,-0.573,37.9,3.5,-3.5,2.02,0.4,-0.5,1642.0,1720.62,983.7,-840.06,13.0,1.0,5155.0,116.0,-142.0,3.511,0.192,-0.157,3.355,0.6679999999999999,-0.8170000000000001,291.0527,45.835129,13.031,0
9301564,0,0,0,0,23.9830523,0.0009789999999999998,-0.0009789999999999998,136.7741,0.0313,-0.0313,0.096,0.348,-0.096,8.77,1.7,-1.7,83.2,7.5,-7.5,1.17,0.33,-0.36,718.0,62.83,52.92,-35.89,11.3,2.0,5696.0,169.0,-152.0,4.178,0.312,-0.168,1.2919999999999998,0.362,-0.399,298.8055700000001,45.759998,13.863,0
9221627,0,0,0,0,1.7613778000000002,0.00014199999999999998,-0.00014199999999999998,132.989,0.114,-0.114,0.159,0.29,-0.159,1.355,0.182,-0.182,359.0,45.3,-45.3,2.32,0.79,-0.32,1824.0,2621.69,2632.67,-949.69,10.5,1.0,6544.0,181.0,-250.0,4.349,0.07200000000000001,-0.217,1.207,0.411,-0.165,293.17194,45.677391,15.02,0
9203154,0,0,0,0,0.8399071579999999,4.91e-06,-4.91e-06,131.69426,0.00428,-0.00428,0.23,0.239,-0.23,1.019,0.187,-0.187,120.0,17.4,-17.4,0.92,0.12,-0.11,1640.0,1705.12,740.7,-541.61,10.7,1.0,5120.0,170.0,-154.0,4.478,0.099,-0.11,0.853,0.104,-0.104,284.12521,45.628052,15.695,0
9150870,0,0,0,0,441.17369,0.0475,-0.0475,374.0092,0.0473,-0.0473,0.3151,0.1376,-0.315,14.82,2.9,-2.9,702.0,110.0,-110.0,2.27,0.86,-0.17,217.0,0.52,0.6,-0.12,11.5,1.0,5610.0,171.0,-162.0,4.551,0.027000000000000003,-0.027000000000000003,0.858,0.326,-0.064,290.30801,45.598412,15.632,0
9099773,0,0,0,0,82.78482,0.00372,-0.00372,141.3871,0.0278,-0.0278,0.682,0.285,-0.474,7.52,1.1,-1.1,190.0,27.4,-27.4,2.16,0.36,-0.47,501.0,14.88,6.46,-6.31,8.4,1.0,5749.0,78.0,-78.0,4.123,0.182,-0.098,1.48,0.245,-0.326,295.5529200000001,45.473431,14.909,1
9085039,0,0,0,0,64.1983721,0.000453,-0.000453,147.98378,0.00527,-0.00527,0.34700000000000003,0.382,-0.2661,0.934,0.297,-0.297,248.0,55.3,-55.3,1.74,0.57,-0.29,506.0,15.49,15.0,-5.89,6.8,1.0,6088.0,161.0,-172.0,4.329,0.14800000000000002,-0.14800000000000002,1.077,0.35700000000000004,-0.179,290.38025,45.445419,13.839,1
9025739,0,0,0,0,7.918267,0.000184,-0.000184,134.1991,0.0205,-0.0205,0.219,0.25,-0.219,3.478,0.687,-0.687,83.7,12.4,-12.4,0.93,0.28,-0.12,953.0,195.36,173.55,-66.7,8.4,1.0,5966.0,179.0,-214.0,4.418,0.087,-0.203,1.016,0.3,-0.129,293.20148,45.354691,14.758,0
8958939,0,0,0,0,22.786522,0.000407,-0.000407,153.2108,0.01,-0.01,0.3817,0.1079,-0.3816,2.197,0.388,-0.388,228.0,44.3,-44.3,1.45,0.44,-0.14,661.0,45.26,40.0,-12.59,7.9,2.0,6146.0,151.0,-193.0,4.497,0.045,-0.045,0.943,0.29,-0.08900000000000001,294.00787,45.232689,15.382,0
8958939,0,0,0,0,8.2927558,0.000153,-0.000153,135.0352,0.0161,-0.0161,0.6346,0.3237,-0.4034,4.784,0.407,-0.407,103.0,14.7,-14.7,1.01,0.31,-0.1,927.0,174.36,154.13,-48.49,8.4,1.0,6146.0,151.0,-193.0,4.497,0.045,-0.045,0.943,0.29,-0.08900000000000001,294.00787,45.232689,15.382,0
